APP_NAM,APP_CATALOG2,APP_CATALOG1,APP_RULE,VER,cmi_app_id
酷我音乐,在线音乐,音乐,.kuwo.cn,1,234
酷我音乐,在线音乐,音乐,log.kuwo.cn,1,235
酷我音乐,在线音乐,音乐,mobi.kuwo.cn,1,236
酷我音乐,在线音乐,音乐,mobilead.kuwo.cn,1,237
酷我音乐,在线音乐,音乐,mreg.kuwo.cn,1,238
酷我音乐,在线音乐,音乐,nplserver.kuwo.cn,1,239
酷云,存储·云盘,系统工具,analytics.coolyun.com,1,240
酷云,存储·云盘,系统工具,autoupdate.coolyun.com,1,241
酷云,存储·云盘,系统工具,bgcenter.coolyun.com,1,242
酷云,存储·云盘,系统工具,dmp.coolyun.com,1,243
酷云,存储·云盘,系统工具,gamecenter.coolyun.com,1,244
酷云,存储·云盘,系统工具,lottery.coolyun.com,1,245
酷云,存储·云盘,系统工具,seccenter.coolyun.com,1,246
酷云,存储·云盘,系统工具,sync.coolyun.com,1,247
酷云,存储·云盘,系统工具,uiapp.coolyun.com,1,248
酷云,存储·云盘,系统工具,update.coolyun.com,1,249
酷云,存储·云盘,系统工具,upgrade.coolyun.com,1,250
酷云,存储·云盘,系统工具,weather.coolyun.com,1,251
酷云,存储·云盘,系统工具,www.coolyun.com,1,252
酷云,存储·云盘,系统工具,.coolyun.com,1,253
快盘,文件管理,系统工具,push1.kuaipan.cn,1,254
快盘,文件管理,系统工具,info.kuaipan.cn,1,255
快盘,文件管理,系统工具,.kuaipan.cn,1,256
快手,短视频,视频,u5.a.yximgs.com,1,257
快手,短视频,视频,yximgs.com,1,258
快速阅读,电子书,新闻阅读,chapter.qreader.me,1,259
快速阅读,电子书,新闻阅读,m.qreader.me,1,260
乐商店,搜索·下载,系统工具,ams.lenovomm.com,1,261
乐商店,搜索·下载,系统工具,api.nc.lenovomm.com,1,262
乐商店,搜索·下载,系统工具,appservice.lenovomm.com,1,263
乐商店,搜索·下载,系统工具,fsr.lenovomm.com,1,264
乐商店,搜索·下载,系统工具,infsr.lenovomm.com,1,265
乐商店,搜索·下载,系统工具,lds.lenovomm.com,1,266
乐商店,搜索·下载,系统工具,sss.lenovomm.com,1,267
乐商店,搜索·下载,系统工具,susapi.lenovomm.com,1,268
乐商店,搜索·下载,系统工具,uefsr.lenovomm.com,1,269
乐商店,搜索·下载,系统工具,uss.lenovomm.com,1,270
乐商店,搜索·下载,系统工具,weather.lenovomm.com,1,271
乐商店,搜索·下载,系统工具,wth.lenovomm.com,1,272
乐商店,搜索·下载,系统工具,yx.lenovomm.com,1,273
乐商店,搜索·下载,系统工具,psb.lenovomm.com,1,274
乐蛙,root,系统工具,api.lewaos.com,1,275
乐蛙,root,系统工具,fota.lewatek.com,1,276
乐元素,,,animalmobile.happyelements.cn,1,277
乐元素,,,etlog.happyelements.cn,1,278
乐元素,,,gcn.happyelements.cn,1,279
乐元素,,,static.manimal.happyelements.cn,1,280
猎豹浏览器,浏览器,系统工具,an.m.liebao.cn,1,281
猎豹浏览器,浏览器,系统工具,api.v.m.liebao.cn,1,282
猎豹浏览器,浏览器,系统工具,cms.an.m.liebao.cn,1,283
猎豹浏览器,浏览器,系统工具,kpns2.a.m.liebao.cn,1,284
猎豹浏览器,浏览器,系统工具,n.m.liebao.cn,1,285
猎豹浏览器,浏览器,系统工具,.liebao.cn,1,286
蚂蜂窝自由行,综合旅游服务,旅游出行,m.mafengwo.cn,1,287
蚂蜂窝自由行,综合旅游服务,旅游出行,www.mafengwo.cn,1,288
买卖宝,团购·优惠券,购物,rep.mmb.cn,1,289
美咖相机,相机,图像,api.rongcaitek.com,1,290
美丽说,商城,购物,im.meilishuo.com,1,291
美丽说,商城,购物,mobapi.meilishuo.com,1,292
美丽说,商城,购物,pushuserapi.meilishuo.com,1,293
美丽说,商城,购物,.meilishuo.com,1,294
美团团购,团购·优惠券,购物,api.mobile.meituan.com,1,295
美团团购,团购·优惠券,购物,.meituan.com,1,296
美柚,健康,运动健康,circle.seeyouyima.com,1,297
美柚,健康,运动健康,data.seeyouyima.com,1,298
美柚,健康,运动健康,n.seeyouyima.com,1,299
美柚,健康,运动健康,.seeyouyima.com,1,300
镁富金融,理财工具,金融理财,dw1005.szdw168.com,1,301
米聊,聊天,聊天社交,api.chat.xiaomi.net,1,302
蘑菇街,商城,购物,www.mogujie.com,1,303
蘑菇街,商城,购物,.mogujie.com,1,304
魔方,,,m.imofan.com,1,305
墨迹天气,天气,生活实用工具,albs.moji001.com,1,306
墨迹天气,天气,生活实用工具,cdn.moji001.com,1,307
墨迹天气,天气,生活实用工具,lbs.moji.com,1,308
墨迹天气,天气,生活实用工具,rt.stat.moji001.com,1,309
墨迹天气,天气,生活实用工具,.moji001.com,1,310
墨迹天气,天气,生活实用工具,weather.moji.com,1,311
墨迹天气,天气,生活实用工具,.moji.com,1,312
陌陌,聊天,聊天社交,et.momocdn.com,1,313
陌陌,聊天,聊天社交,img.momocdn.com,1,314
南都手机客户端,新闻·资讯,新闻阅读,m.nandu.com,1,315
尼尔森在线研究,,,s.cr-nielsen.com,1,316
欧朋浏览器,新闻·资讯,新闻阅读,opera.com,1,317
欧朋浏览器,新闻·资讯,新闻阅读,ucycle.oupeng.com,1,318
起点读书,电子书,新闻阅读,uedas.qidian.com,1,319
起点读书,电子书,新闻阅读,.qidian.com,1,320
千尺看图,新闻·资讯,新闻阅读,api.1000chi.com,1,321
千尺看图,新闻·资讯,新闻阅读,da.1000chi.com,1,322
千尺看图,新闻·资讯,新闻阅读,.1000chi.com,1,323
千千360,优化,系统工具,www.qianqian360.com,1,324
亲宝宝育儿,相册·图库,图像,api.qbb6.com,1,325
糗事百科,漫画,新闻阅读,im.qiushibaike.com,1,326
糗事百科,漫画,新闻阅读,m2.qiushibaike.com,1,327
糗事百科,漫画,新闻阅读,.qiushibaike.com,1,328
全民飞机大战,飞行,动作射击,feiji.qq.com,1,329
全球天气在线,天气,生活实用工具,api.worldweatheronline.com,1,330
全球天气在线,天气,生活实用工具,free.worldweatheronline.com,1,331
闪动视听,在线视频,视频,dopool.com,1,332
神马,浏览器,系统工具,api.m.sm.cn,1,333
神马,浏览器,系统工具,bookt.sm.cn,1,334
神马,浏览器,系统工具,ixs.sm.cn,1,335
神马,浏览器,系统工具,log.s.sm.cn,1,336
神马,浏览器,系统工具,m.sa.sm.cn,1,337
神马,浏览器,系统工具,m.sm.cn,1,338
神马,浏览器,系统工具,m.sp.sm.cn,1,339
神马,浏览器,系统工具,read.yisou.com,1,340
神马,浏览器,系统工具,sugs.m.sm.cn,1,341
神马,浏览器,系统工具,ts1.mm.sm.cn,1,342
神马,浏览器,系统工具,xs.sm.cn,1,343
手机助手营业厅,营业厅,生活服务,odp1.mmarket.com,1,344
书城,电子书,新闻阅读,book.d.ireader.com,1,345
数据魔方,,,a.tbcdn.cn,1,346
数据魔方,,,g.tbcdn.cn,1,347
数据统计系统,,,gc.cui9.com,1,348
搜房网,租房·短租,生活服务,agentappnew.3g.fang.com,1,349
搜房网,租房·短租,生活服务,chat.client.3g.fang.com,1,350
搜房网,租房·短租,生活服务,.fang.com,1,351
搜狗阅读,电子书,新闻阅读,k.sogou.com,1,352
搜狗地图,地图·导航,交通导航,mengine.go2map.com,1,353
搜狗手机助手,优化,系统工具,mobile1.zhushou.sogou.com,1,354
搜狐新闻,新闻·资讯,新闻阅读,api.k.sohu.com,1,355
搜狐新闻,新闻·资讯,新闻阅读,api.tv.sohu.com,1,356
搜狐阅读,电子书,新闻阅读,read.m.sohu.com,1,357
锁屏精灵,锁屏,美化手机,dc.qiigame.com,1,358
锁屏精灵,锁屏,美化手机,weather.qiigame.com,1,359
腾讯地图,地图·导航,交通导航,pwh.map.qq.com,1,360
腾讯地图,地图·导航,交通导航,lbs.map.qq.com,1,361
腾讯地图,地图·导航,交通导航,.map.qq.com,1,362
腾讯搜搜,搜索·下载,系统工具,cache.soso.com,1,363
QQ音乐,在线音乐,音乐,3g.music.qq.com,1,364
腾讯游戏,搜索·下载,系统工具,download.wegame.qq.com,1,365
腾讯游戏,搜索·下载,系统工具,mapps.game.qq.com,1,366
腾讯游戏,搜索·下载,系统工具,game.qq.com,1,367
腾讯游戏,搜索·下载,系统工具,game.ds.qq.com,1,368
腾讯电视游戏,益智,休闲时间,tvgame.qq.com,1,369
QQ邮箱,办公软件,效率办公,i.mail.qq.com,1,370
QQ邮箱,办公软件,效率办公,qumas.mail.qq.com,1,371
QQ邮箱,办公软件,效率办公,.mail.qq.com,1,372
天籁K歌,K歌,音乐,sns.audiocn.org,1,373
手机天猫,商城,购物,jdy.tmall.com,1,374
手机天猫,商城,购物,m.tmall.com,1,375
手机天猫,商城,购物,ya.tmall.com,1,376
手机天猫,商城,购物,.tmall.com,1,377
手机天猫,商城,购物,.tmall.hk,1,378
天天动听,在线音乐,音乐,api.busdh.com,1,379
天天动听,在线音乐,音乐,api.skin.ttpod.com,1,380
天天动听,在线音乐,音乐,client.api.ttpod.com,1,381
天天动听,在线音乐,音乐,collect.log.ttpod.com,1,382
天天动听,在线音乐,音乐,dongting.com,1,383
天天动听,在线音乐,音乐,lrc.ttpod.com,1,384
天天动听,在线音乐,音乐,online.dongting.com,1,385
天天动听,在线音乐,音乐,picdown.ttpod.cn,1,386
天天动听,在线音乐,音乐,pic.ttpod.cn,1,387
天天动听,在线音乐,音乐,.ttpod.cn,1,388
同花顺,新闻·资讯,新闻阅读,adm.10jqka.com.cn,1,389
同花顺,新闻·资讯,新闻阅读,eq.10jqka.com.cn,1,390
今日头条,新闻·资讯,新闻阅读,ic.snssdk.com,1,391
今日头条,新闻·资讯,新闻阅读,i.snssdk.com,1,392
今日头条,新闻·资讯,新闻阅读,isub.snssdk.com,1,393
今日头条,新闻·资讯,新闻阅读,log.snssdk.com,1,394
今日头条,新闻·资讯,新闻阅读,mon.snssdk.com,1,395
图吧导航,地图·导航,交通导航,wimg1.mapbar.com,1,396
图吧导航,地图·导航,交通导航,wireless.mapbar.com,1,397
团800,团购·优惠券,购物,m.api.tuan800.com,1,398
豌豆荚,搜索·下载,系统工具,adslist.wandoujia.com,1,399
豌豆荚,搜索·下载,系统工具,api.wandoujia.com,1,400
豌豆荚,搜索·下载,系统工具,apps.wandoujia.com,1,401
豌豆荚,搜索·下载,系统工具,exchange.wandoujia.com,1,402
豌豆荚,搜索·下载,系统工具,feed.wandoujia.com,1,403
豌豆荚,搜索·下载,系统工具,l.wandoujia.com,1,404
豌豆荚,搜索·下载,系统工具,mario.sdk.wandoujia.com,1,405
豌豆荚,搜索·下载,系统工具,mario.wandoujia.com,1,406
豌豆荚,搜索·下载,系统工具,m.cfg.wandoujia.com,1,407
豌豆荚,搜索·下载,系统工具,push.wandoujia.com,1,408
豌豆荚,搜索·下载,系统工具,www.wandoujia.com,1,409
豌豆荚,搜索·下载,系统工具,xibaibai.wandoujia.com,1,410
豌豆荚,搜索·下载,系统工具,.wandoujia.com,1,411
万年历,日历,生活实用工具,c.51wnl.com,1,412
万年历,日历,生活实用工具,cfg.51wnl.com,1,413
网易彩票,彩票,金融理财,api.caipiao.163.com,1,414
网易云音乐,在线音乐,音乐,music.163.com,1,415
网易邮箱,办公软件,效率办公,m.163.com,1,416
新浪微博,社区,聊天社交,weibo.cn,1,417
新浪微博,社区,聊天社交,api.weibo.cn,1,418
微信,聊天,聊天社交,weixin.qq.com,1,419
腾讯微云,文件管理,系统工具,collector.weiyun.com,1,420
唯品会购物,商城,购物,mp.vip.com,1,421
唯品会购物,商城,购物,.vip.com,1,422
想恋爱,聊天,聊天社交,api.xianglianai.cn,1,423
小恩爱,聊天,聊天社交,api.xiaoenai.com,1,424
小恩爱,聊天,聊天社交,apps.api.xiaoenai.com,1,425
小恩爱,聊天,聊天社交,noti.api.xiaoenai.com,1,426
小米生活,分类信息,生活服务,smsapi.micloud.xiaomi.net,1,427
小米天气,天气,生活实用工具,weatherapi.market.xiaomi.com,1,428
小米主题商店,桌面·主题,美化手机,app.market.xiaomi.com,1,429
小说阅读网,新闻·资讯,新闻阅读,client.cmread.com,1,430
小说阅读网,新闻·资讯,新闻阅读,wap.cmread.com,1,431
携程旅行,交通票务,交通导航,m.ctrip.com,1,432
携程旅行,交通票务,交通导航,.ctrip.com,1,433
携程旅行,交通票务,交通导航,download.ctrip.com,1,434
携程旅行,交通票务,交通导航,images3.c-ctrip.com,1,435
心心缘分,,,img.365yf.com,1,436
新浪视频,在线视频,视频,video.sina.cn,1,437
新浪视频,在线视频,视频,video.sina.com.cn,1,438
新浪微博,微博,聊天社交,api.weibo.cn,1,439
新浪微博,微博,聊天社交,card.weibo.com,1,440
新浪微博,微博,聊天社交,dp.im.weibo.cn,1,441
新浪微博,微博,聊天社交,mapi.weibo.com,1,442
新浪微博,微博,聊天社交,m.weibo.cn,1,443
新浪微博,微博,聊天社交,tqt.weibo.cn,1,444
新浪微博,微博,聊天社交,.weibo.cn,1,445
新鲜事,搞笑,新闻阅读,.cmigate.com,1,446
新鲜事,搞笑,新闻阅读,img.cmigate.com,1,447
新鲜事,搞笑,新闻阅读,www.cmigate.com,1,448
央视新闻,电视·直播,视频,.cntv.cn,1,449
宜搜搜索,浏览器,系统工具,adm.easou.com,1,450
